login,firstname,lastname,memberOf,memberOf,disabled,password,,
h.potter,Harry,Potter,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,asd126
e.macmillan,Ernie,Macmillan,Hogwarts,Students,Hufflepuff,,FALSE,o1vdP467
h.granger,Hermione,Granger,Hogwarts,Students,Gryffindor,,FALSE,huGHa765
r.weasley,Ron,Weasley,Hogwarts,Students,Gryffindor,,FALSE,asd123
f.weasley,Fred,Weasley,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,sLh5D268
ge.weasley,George,Weasley,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,Hhktd54
gi.weasley,Ginny,Weasley,Hogwarts,Students,Gryffindor,,FALSE,HidpQ8543
p.weasley,Percy,Weasley,Hogwarts,Students,Gryffindor,,FALSE,BVzp7346
n.longbottom,Neville,Longbottom,Hogwarts,Students,Gryffindor,,FALSE,4j91q753
s.finnigan,Seamus,Finnigan,Hogwarts,Students,Gryffindor,,FALSE,X3rVs988
o.wood,Oliver,Wood,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,He7jK689
k.bell,Katie,Bell,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,CStTz754
l.brown,Lavender,Brown,Hogwarts,Students,Gryffindor,,FALSE,3PnNC147
c.creevey,Colin,Creevey,Hogwarts,Students,Gryffindor,,FALSE,FxRQO652
d.creevey,Dennis,Creevey,Hogwarts,Students,Gryffindor,,FALSE,O0Unq245
a.johnson,Angelina,Johnson,Hogwarts,Students,Gryffindor,,FALSE,xwlPf677
l.jordan,Lee,Jordan,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,FeJKf7443
c.mcLaggen,Cormac,McLaggen,Hogwarts,Students,Gryffindor,,FALSE,WGV9Z2456
p.patil,Parvati,Patil,Hogwarts,Students,Gryffindor,,FALSE,L06xC234
a.spinnet,Alicia,Spinnet,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,3QyWK234
d.thomas,Dean,Thomas,Hogwarts,Students,Gryffindor,quiddich-griffindor,FALSE,7bUIs456
s.bones,Susan,Bones,Hogwarts,Students,Hufflepuff,,FALSE,zzkzQ456
c.diggory,Cedric,Diggory,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,dDtXQ567
j.finchFletchley,Justin,Finch-Fletchley,Hogwarts,Students,Hufflepuff,,FALSE,4hicr6789
z.smith,Zacharias,Smith,Hogwarts,Students,Hufflepuff,quiddich-hufflepuff,FALSE,wWytb7890
